primkey,order_id,jcp_line_number,jcp_component_numb,o_status,ship_date,comp_date,sku,lot,back_order,r_quantity,o_quantity,quality_level,match_flag,mono_flag,set_id,color_id,pick_loc,pick_period,pick_pull_time,iip_nbr,hold_flag,dss_flag,alloc_from_task,ticket_type,,,
500411429,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1523003,91,Y,1,1,0,,N,0,0,D1938C3,34,,2.5041E+11,,N,,A,,,
500411552,2.02311E+13,1,0,DELETE,4/24/23 0:00,4/24/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,21,,2.5041E+11,,N,,A,,,
500413201,2.02311E+13,1,0,DELETE,4/24/23 0:00,,1523000,91,Y,1,1,0,,N,0,0,K2703A1,34,,2.50411E+11,,N,,A,,,
500413344,2.02311E+13,5,0,DELETE,4/25/23 0:00,4/25/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,41,,2.50412E+11,,N,,A,,,
500413791,2.02311E+13,1,0,DELETE,4/24/23 0:00,,7312600,18,Y,4,4,0,,N,0,0,B2528D1,39,,2.50412E+11,,N,,A,,,
500413874,2.02311E+13,27,0,DELETE,4/24/23 0:00,,9480177,59,Y,1,1,0,,N,0,0,B0135A1,33,,2.50412E+11,Y,N,,A,,,
500414225,2.02311E+13,1,0,DELETE,4/24/23 0:00,,5201102,141,Y,1,1,0,,N,0,0,K4433E1,37,,2.50412E+11,,N,,A,,,
500416069,2.02311E+13,7,0,DELETE,4/24/23 0:00,,8174076,91,Y,1,1,0,,N,0,0,D5304F2,38,,2.50414E+11,,N,,A,,,
500416855,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,8941204,34,Y,1,1,0,,N,0,0,E4511C1,41,,2.50414E+11,,N,,A,,,
500418745,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,8174076,91,Y,1,1,0,,N,0,0,D5304F2,41,,2.50415E+11,,N,,A,,,
500418915,2.02311E+13,1,0,DELETE,4/24/23 0:00,,271186,117,Y,1,1,0,,N,0,0,D1129D4,38,,2.50415E+11,,N,,A,,,
500419065,2.02311E+13,3,0,DELETE,4/25/23 0:00,4/25/23 0:00,8451068,91,Y,1,1,0,,N,0,0,H1931C1,41,,2.50416E+11,,N,,A,,,
500419193,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,2354003,125,Y,1,1,0,,N,0,0,A1315D1,41,,2.50416E+11,,N,,A,,,
500419422,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,1523001,117,Y,1,1,0,,N,0,0,F1108E3,41,,2.50416E+11,,N,,A,,,
500419568,2.02311E+13,3,0,DELETE,4/25/23 0:00,4/25/23 0:00,5830701,497,Y,1,1,0,,N,0,0,C6517A1,41,,2.50416E+11,,N,,A,,,
500420402,2.02311E+13,3,0,DELETE,4/25/23 0:00,4/25/23 0:00,2256147,42,Y,1,1,0,,N,0,0,H3503D3,41,,2.50416E+11,,N,,A,,,
500420633,2.02311E+13,8,0,DELETE,4/25/23 0:00,4/25/23 0:00,3460674,109,Y,1,1,0,,N,0,0,E3813F2,41,,2.50417E+11,,N,,A,,,
500422912,2.02311E+13,3,0,DELETE,4/24/23 0:00,,1091613,18,Y,1,1,0,,N,0,0,J0946G1,38,,2.50418E+11,,N,,A,,,
500423862,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,9621272,42,Y,1,1,0,,N,0,0,C2512H5,41,,2.50419E+11,,N,,A,,,
500423867,2.02311E+13,2,0,DELETE,4/24/23 0:00,,8941204,34,Y,1,1,0,,N,0,0,E4511C1,38,,2.50419E+11,,N,,A,,,
500424003,2.02311E+13,2,0,DELETE,4/25/23 0:00,4/25/23 0:00,8511729,83,Y,1,1,0,,N,0,0,G3502A3,41,,2.50419E+11,,N,,A,,,
500424418,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,5300239,59,Y,2,2,0,,N,0,0,C0711A2,47,,2.50419E+11,,N,,A,,,
500424474,2.02311E+13,2,0,DELETE,4/25/23 0:00,4/25/23 0:00,8143076,67,Y,1,1,0,,N,0,0,B0629G5,41,,2.50419E+11,,N,,A,,,
500424555,2.02311E+13,2,0,DELETE,4/24/23 0:00,4/24/23 0:00,1292010,109,Y,1,1,0,,N,0,0,H4818D2,21,,2.50419E+11,N,N,,A,,,
500424616,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,2291278,83,Y,1,1,0,,N,0,0,G3735H2,41,,2.50419E+11,,N,,A,,,
500424618,2.02311E+13,4,0,DELETE,4/25/23 0:00,4/25/23 0:00,2256147,59,Y,1,1,0,,N,0,0,H3520D2,41,,2.50419E+11,,N,,A,,,
500424731,2.02311E+13,1,0,DELETE,4/25/23 0:00,4/25/23 0:00,8451028,299,Y,1,1,0,,N,0,0,B1812C1,41,,2.50419E+11,,N,,A,,,
500424738,2.02311E+13,7,0,DELETE,4/25/23 0:00,4/25/23 0:00,5130157,83,Y,1,1,0,,N,0,0,J0828A2,41,,2.50419E+11,,N,,A,,,
