zone_1,zone_2,zone_3,mod_type,top_off,,,
FLATWARE,,,W57,Y,,,
A-BIN,,,A06,Y,,,
HEAVIES,,,W75,Y,,,
HEAVIES,,,W64,Y,,,
HANGING,,,X06,Y,,,
WCONVEY,,,W25,Y,,,
SLICKRAIL,,,X30,Y,,,
HI-SEASON,,,A20,Y,,,
ET_ZONE,,,W74,Y,,,
SLICKRAIL,,,X20,Y,,,
SMALL_A,,,A07,Y,,,
SWING,,,A96,Y,,,
XLONGSHADE,,,W41,Y,,,
HANGING,,,X10,Y,,,
LONGBIN_S,,,W38,Y,,,
LOW-SEASON,,,A68,Y,,,
A-BIN,,,A02,Y,,,
STOCKING,,,A06,Y,,,
COFFEE,,,A02,N,,,
VAULT,,,A07,Y,,,
STOCKING,,,A10,Y,,,
STOCKING,,,A07,Y,,,
SWATCH,,,A07,Y,,,
SWATCH,,,A02,Y,,,
TIERACK,,,A95,Y,,,
REGULATEDL,,,W90,Y,,,
LOW-SEASON,,,A32,Y,,,
VAULT,,,A06,Y,,,
COFFEE,,,A26,N,,,
GADGETS,,,A02,Y,,,
GADGETS,,,A07,Y,,,
REGULATEDL,,,W91,Y,,,
GADGETS,,,A10,Y,,,
STOCKING,,,A75,Y,,,
WCONVEY,,,W26,Y,,,
HG LONG,,,X06,N,,,
LONGBIN_S,,,W04,Y,,,
TIERACK_W,,,W90,Y,,,
HI-SEASON,,,A53,Y,,,
ENTERPRISE,,,A06,Y,,,
ENTERPRISE,,,A07,Y,,,
ENTERPRISE,,,A02,Y,,,
ENTERPRISE,,,A10,Y,,,
HEAVIES,,,W94,Y,,,
HEAVIES,,,W95,Y,,,
BIGSHOE,,,A17,Y,,,
BIGSHOE,,,A15,Y,,,
BIGSHOE,,,A18,Y,,,
LOW-SEASON,,,A20,Y,,,
LONGBIN_S,,,W39,Y,,,
SWATCH,,,A06,Y,,,
XLONGSHADE,,,W16,Y,,,
XLONGSHADE,,,W18,Y,,,
XLONGSHADE,,,W19,Y,,,
XLONGSHADE,,,W21,Y,,,
LONGSHADE,,,W13,Y,,,
TOWELS,,,A92,Y,,,
VAULT,,,A90,Y,,,
REGULATED,,,W90,Y,,,
BIGSHOE,,,A80,Y,,,
NONCONVEY,,,W30,Y,,,
BIGSHOE,,,A90,Y,,,
BIGSHOE,,,A38,Y,,,
LONGBINS,,,W41,Y,,,
HG WOMEN,,,X15,Y,,,
TIERACK,,,A39,Y,,,
SOFA,,,W83,Y,,,
WALLPAPER,,,W15,Y,,,
A-BIN,,,A15,Y,,,
LONGBIN-SH,,,W20,,,,
SHOES,,,A35,Y,,,
SHADESLG,,,W29,Y,,,
SHADESLG,,,W04,Y,,,
SHOES,,,A55,Y,,,
REGULATED,,,W28,Y,,,
REGULATED,,,W26,Y,,,
A,,,A26,Y,,,
CHROMO,,,A55,Y,,,
NONCONVEY,,,W94,Y,,,
TOWELS,,,A26,Y,,,
NONCONVEY,,,W95,Y,,,
TOWELS,,,A35,Y,,,
VAULT,,,A10,Y,,,
VAULT,,,A07,Y,,,
VAULT,,,A32,Y,,,
VAULT,,,A95,Y,,,
W,,,W28,Y,,,
VAULT,,,A50,Y,,,
VAULT,,,A03,Y,,,
VAULT,,,A86,Y,,,
A-BIN,,,A26,Y,,,
VAULT,,,A30,Y,,,
TAILORSHOP,,,A16,Y,,,
TAILORSHOP,,,A27,Y,,,
WCONVEY,,,W28,Y,,,
TAILORSHOP,,,A10,Y,,,
LONGBIN-LG,,,W29,Y,,,
WCONVEY,,,W26,Y,,,
TAILORSHOP,,,A35,Y,,,
A-BIN,,,A24,Y,,,
SHOES,,,A20,Y,,,
REGULATED,,,W17,Y,,,
WCONVEY-TR,,,W91,Y,,,
A-BIN,,,A06,Y,,,
POH-0,,,A06,Y,,,
OVERHANG,,,W73,Y,,,
HANGING,,,X45,Y,,,
SEASONTOY,,,A85,Y,,,
SWING,,,A75,Y,,,
SWING,,,A55,Y,,,
SWING,,,A85,Y,,,
A,,,A15,Y,,,
X,,,X90,Y,,,
W,,,W26,Y,,,
SHADES,,,W43,Y,,,
LONGBIN-LG,,,W57,Y,,,
WALLPAPER,,,W10,Y,,,
CHROMO,,,A09,Y,,,
CHROMO,,,A02,Y,,,
CHROMO,,,A22,Y,,,
CHROMO,,,A38,Y,,,
OVERHANG,,,W87,Y,,,
PILLOW,,,W91,Y,,,
TALL,,,W50,Y,,,
LONGBIN-ME,,,W33,Y,,,
LONGBIN,,,W61,Y,,,
LONGBIN,,,W47,Y,,,
LONGBIN,,,W41,Y,,,
LONGBIN,,,W33,Y,,,
LONGBIN,,,W62,Y,,,
LONGBIN,,,W57,Y,,,
LONGBIN,,,W28,Y,,,
LONGBIN,,,W67,Y,,,
OVERHANG,,,W75,Y,,,
FP OVRHANG,,,W87,Y,,,
OVERHANG,,,W77,Y,,,
RUGS-SH,,,W05,Y,,,
RUGS-SH,,,W06,Y,,,
RUGS-SH,,,W08,Y,,,
RUGS-SH,,,W18,Y,,,
RUGS-SH,,,W19,Y,,,
RUGS-SH,,,W24,Y,,,
KITS_A,,,W94,Y,,,
STDCOST0,,,A01,Y,,,
W MONO,,,W91,,,,
X-NO-HGIND,,,X01,Y,,,
A,,,A04,Y,,,
NONCONVEY,,,W96,Y,,,
WCONVEY,,,W21,Y,,,
WCONVEY,,,W17,Y,,,
WCONVEY,,,W90,Y,,,
SOFA,,,W80,Y,,,
REGULATED,,,W90,Y,,,
SHOES,,,A17,Y,,,
REGULATED,,,W91,Y,,,
SOFA,,,W81,Y,,,
W-TOYS,,,A26,Y,,,
SOFA,,,W82,Y,,,
HEAVIES,,,W94,Y,,,
HEAVIES,,,W95,Y,,,
NONCONVEY,,,W91,Y,,,
NONCONVEY,,,W92,Y,,,
