mod_type,description,type,width,length,height,top_off_flag,num_fit,,,
T62,,B,1,1,1,,1,,,
T63,W-T_CLASS,B,25,37.6,46,,1,,,
T64,,B,1,1,1,,1,,,
T65,,B,1,1,1,,1,,,
T66,,B,1,1,1,,1,,,
T67,,B,1,1,1,,1,,,
T68,,B,1,1,1,,1,,,
T69,,B,1,1,1,,1,,,
T70,,B,1,1,1,,1,,,
T71,,B,1,1,1,,1,,,
T72,,B,1,1,1,,1,,,
T73,,B,1,1,1,,1,,,
T74,,B,1,1,1,,1,,,
T75,,B,1,1,1,,1,,,
T76,,B,1,1,1,,1,,,
T77,,B,1,1,1,,1,,,
T78,,B,1,1,1,,1,,,
T79,,B,1,1,1,,1,,,
T80,,B,1,1,1,,1,,,
T81,,B,1,1,1,,1,,,
T82,,B,1,1,1,,1,,,
T83,,B,1,1,1,,1,,,
T84,,B,1,1,1,,1,,,
T85,,B,1,1,1,,1,,,
T86,,B,1,1,1,,1,,,
T87,,B,1,1,1,,1,,,
T88,,B,1,1,1,,1,,,
T89,,B,1,1,1,,1,,,
T90,,B,1,1,1,,1,,,
T91,,B,1,1,1,,1,,,
T92,,B,1,1,1,,1,,,
T93,,B,1,1,1,,1,,,
T94,,B,1,1,1,,1,,,
T95,,B,1,1,1,,1,,,
T96,,B,1,1,1,,1,,,
T97,,B,1,1,1,,1,,,
T98,,B,1,1,1,,1,,,
T99,SPECIAL ZONING,B,0.1,0.1,0.1,,1,,,
A02,PRACTICE,B,4.5,29.5,10,,1,,,
A03,MULTI - TEST,B,5.5,10,7.4,,9,,,
A04,COFFEE,B,16.5,29.5,10,,4,,,
A05,1/6 MOD,B,5.5,29.5,10,,6,,,
A08,SHORT 1/3,B,11,14.5,10,,1,,,
A09,24 INCH 1/6,B,5.5,23.5,10,,1,,,
A10,SPEC SEASONAL,B,17.5,48.5,17.5,,1,,,
A12,SPEC SEASONAL,B,24.5,36,29.7,,1,,,
A16,1/4 MOD 7 SHELF,B,8.2,29.5,12,,4,,,
A17,1/3 MOD 7 SHELF,B,11,29.5,12,,3,,,
A18,ONE MOD 7 SHELF,B,16.5,29.5,12,,2,,,
A19,1/2 MOD TALL,B,16.5,29.5,15,,4,,,
A21,BIG SHOE,B,17,34.5,19.5,,1,,,
A22,BIG SHOE SF,B,18,31,42,,1,,,
A23,TOWELL SEASON,B,17,16,22,,1,,,
A24,BIG SHOE SHORT,B,17,30,17,,1,,,
A26,BIGSHOE SHELF,B,25,41,42,,1,,,
A27,A-SOUTH W,B,17,36,18,,1,,,
A28,RENO 31 SHORT,B,20.8,43.5,17.5,,4,,,
A29,SPEC SEASONAL,B,25,38.5,51,,1,,,
A33,A-SOUTH LARGE,B,25,42,50,,1,,,
A36,SPEC SEASONAL,B,17.7,43.5,21.7,,1,,,
A37,W-T_CLASS,B,25,37.6,46,,1,,,
A38,W-T_CLASS,B,22,28,18,,1,,,
A40,1 TIER RACK,B,48,60,56,,1,,,
A41,2 TIER RACK,B,48,120,56,,1,,,
A42,T CLASS SMALL,B,22,35,28.5,,1,,,
A43,VAULT,B,5.8,23.5,10,,1,,,
A44,VAULT,B,8.5,23.5,10,,1,,,
A45,VAULT,B,17.5,23.5,10,,1,,,
A46,I BELT SMALL,B,25,36,22,,1,,,
A47,I BELT REG,B,25,47,23,,1,,,
A48,I BELT 1/2 SPTR,B,30,48,46,,1,,,
A49,8 TIER RACK,B,48,240,448,,1,,,
A50,SP SF FOR BIG S,B,48,60,14,,1,,,
A51,W-T_CLASS,B,36,106,45.5,,1,,,
W01,FLATWARE,B,17,30,11,Y,1,,,
A02,1/4 MOD,B,8,29.5,11,Y,4,,,
A05,SHOE 1/4,B,8.5,29.5,12,Y,4,,,
W33,PALLET,B,54,45,26,,2,,,
W36,REGULATED,B,17,31,28,,4,,,
W37,LONGSHADE,B,18,59,21,,1,,,
W38,"Y SHELF 38""LGTH",B,108,38,21,,1,,,
W39,"Y SHELF 52""LGTH",B,108,52,21,,1,,,
W41,"Y SHELF 96""LGTH",B,108,96,21,,1,,,
W42,DEFAULT,B,1,1,1,,1,,,
W43,MEDIUM RUGS,B,30,60,25,,1,,,
W44,LONG RUGS,B,22,115,25,,1,,,
W46,SHORT RUGS,B,24,56,26,,1,,,
W48,LONG RUGS,B,20,80,31,,1,,,
W49,LONG RUGS,B,34.5,66,24.5,,1,,,
W51,LONG RUGS,B,44,80,42,,1,,,
W52,FLATWARE (A10),B,28,28,19,,3,,,
W53,FLATWARE (A19),B,34,30,11,,1,,,
W54,FLATWARE (A20),B,34,30,22,,1,,,
W56,FLATWARE (A35),B,17,36,20,,5,,,
W57,FLATWARE (A69),B,17,36,36,,5,,,
W58,DEFAULT,B,10,10,10,,0,,,
W59,DEFAULT,B,10,10,10,,0,,,
W61,DEFAULT,B,10,10,10,,0,,,
W63,DEFAULT,B,10,10,10,,0,,,
W64,LONGPALLHEAVIES,B,63,89,43,,1,,,
W65,LONG PALLET,B,54,88,26,,1,,,
W66,LONG BLINDS,B,15,78,28,,1,,,
W68,DEFAULT,B,30,122,28,,0,,,
W69,LONG RUGS,B,27,115,40,,1,,,
W71,LONGEST RUGS,B,26,120,31,,1,,,
W72,ET-TIER RACK,B,104,98,205,,1,,,
W76,DEFAULT,B,10,10,10,,0,,,
W77,DEFAULT,B,10,10,10,,0,,,
W78,DEFAULT,B,10,10,10,,0,,,
W79,DEFAULT,B,10,10,10,,0,,,
W80,DEFAULT,B,40,30,32,,0,,,
A68,LOW-SEASON TS,B,50,60,50,,1,,,
W84,ET RACK,S,90,37,36,,5,,,
W85,DEFAULT,B,1,1,1,,0,,,
W86,DEFAULT,B,10,10,10,,0,,,
W87,DEFAULT,B,10,10,10,,0,,,
W89,DEFAULT,B,10,10,10,,0,,,
W90,1 DEEP 1-HIGH,B,60,48,58,,1,,,
W91,1 DEEP 4-HI,B,57,45.6,220.4,,1,,,
W92,2 DEEP 4 HI,B,57,91.2,220.4,,1,,,
W93,3 DEEP 4-HI,B,57,136.8,220.4,,1,,,
W94,4 DEEP 4 HI,B,60,192,232,,1,,,
W95,5 DEEP 4 HI,B,60,240,232,,1,,,
W96,1 DEEP 2-HI,B,60,44,116,,1,,,
A07,1/3 MOD,B,11,29.5,11,Y,3,,,
A10,1/2 MOD,B,17,30,11,Y,2,,,
A15,BIGSHOE SHORT,B,14.5,33,18,Y,6,,,
A20,4 MOD BOX,B,34,30,22,Y,1,,,
A25,QUAD SEASONAL,B,26,36,25,Y,4,,,
X30,U-LEVEL,B,30,72,21,,1,,,
A33,LOW SEAS/HDLINE,B,34,36.5,26,Y,4,,,
A35,1/5 SM SEASONAL,B,17,36,20,Y,5,,,
A40,1/3 LOW SEASONA,B,35,44,46,Y,3,,,
A45,1/4 COORD.,B,39,43,21.5,Y,4,,,
A47,1/4 LOW SEAS.,B,24,35,43,Y,4,,,
A50,1/3 H.SEAS/TOY,B,38,47,46,Y,3,,,
A55,1/4 H.SEASONAL,B,28,47,46,Y,4,,,
A70,1/6 HIGH SEAS,B,38,44,17,Y,5,,,
A75,1/2 L.SEAS.I-B,B,29,50.5,43,Y,2,,,
A90,REG. T-RACK,B,60,48,58,Y,1,,,
A97,TIER RACK 6,B,60,88,174,Y,1,,,
W02,DEFAULT,B,1,1,1,Y,0,,,
A11,SHORT TEN,B,17,22,10.5,Y,2,,,
A39,I-BELT C-LEVEL.,B,43,35.5,33.5,Y,2,,,
A38,XXXL BIGSHOE,B,14.5,44,40,Y,6,,,
A43,1/4 SEAS HRDLNS,B,22,46,42,Y,4,,,
A24,"I-B,5710-14C",B,29,35.5,32.5,Y,1,,,
A23,"I-B,5714A",B,35.5,32.5,20.5,Y,1,,,
A21,SHORT 20,B,34,24,22,Y,1,,,
A37,BIGSHOE XL,B,14.5,41,27,Y,6,,,
A19,BIN SLEVE,B,34,30,11,Y,1,,,
W23,CONVEY,B,28,44,24,Y,3,,,
W30,WCONVEY 1/2SHLF,B,58,48,42,Y,2,,,
W24,CONVEY,B,28.5,60,22,Y,3,,,
W31,CONVEY,B,32.5,60,29.5,Y,3,,,
W34,DEFAULT,B,1,1,1,Y,0,,,
W03,DEFAULTN,B,1,1,1,Y,0,,,
W35,REGUALTED,B,14,42,18,Y,5,,,
W40,DEFAULT,B,1,1,1,Y,0,,,
W45,REGULATED,B,10,10,10,Y,1,,,
W47,DEFAULT,B,1,1,1,Y,0,,,
W50,DEFAULT,B,1,1,1,Y,1,,,
W60,TALL POLE,B,56,82,48,Y,1,,,
W67,LONG PALLET,B,45,89,46,Y,1,,,
W70,ET-TIER RACK,B,52,98,205,Y,1,,,
W73,ET-TIER RACK,B,156,98,205,Y,1,,,
W88,FLOOR LOCATION,B,100,155,100,,1,,,
W07,LONGBIN_S,B,18,45,21,,1,,,
W08,SHORT RUGS,B,28,51,25,,1,,,
W09,MEDIUM RUGS,B,30,59,25,,1,,,
W15,DEFAULT,B,1,1,1,,1,,,
W16,LONGBIN_S,B,18,60,21,,1,,,
A00,DEFAULT,B,1,1,1,,0,,,
W17,DEFAULT,B,1,1,1,,1,,,
A06,1/6 MOD,B,5.5,29.5,11,Y,6,,,
A12,HNG GAR,B,6,30,25,Y,1,,,
A13,HNG GAR,B,17,30,25,Y,1,,,
A14,I-BELT D-LEVEL,B,28.5,28.5,32.5,Y,3,,,
A28,I-B/D-L5017-21,B,35,37,19.3,Y,1,,,
A30,D-5 1/2 MOD,B,17,30,11,,2,,,
A34,I-BELT (A35),B,17,30,20,Y,5,,,
A46,1/3 SEAS HRDLNS,B,29,46,48,Y,3,,,
